Ayah,Surah,Rub,Juz,FirstAyahInRub,FirstAyahInJuz
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,2,1,1,1,1
9,2,1,1,1,1
10,2,1,1,1,1
11,2,1,1,1,1
12,2,1,1,1,1
13,2,1,1,1,1
14,2,1,1,1,1
15,2,1,1,1,1
16,2,1,1,1,1
17,2,1,1,1,1
18,2,1,1,1,1
19,2,1,1,1,1
20,2,1,1,1,1
21,2,1,1,1,1
22,2,1,1,1,1
23,2,1,1,1,1
24,2,1,1,1,1
25,2,1,1,1,1
26,2,1,1,1,1
27,2,1,1,1,1
28,2,1,1,1,1
29,2,1,1,1,1
30,2,1,1,1,1
31,2,1,1,1,1
32,2,1,1,1,1
33,2,2,1,33,1
34,2,2,1,33,1
35,2,2,1,33,1
36,2,2,1,33,1
37,2,2,1,33,1
38,2,2,1,33,1
39,2,2,1,33,1
40,2,2,1,33,1
41,2,2,1,33,1
42,2,2,1,33,1
43,2,2,1,33,1
44,2,2,1,33,1
45,2,2,1,33,1
46,2,2,1,33,1
47,2,2,1,33,1
48,2,2,1,33,1
49,2,2,1,33,1
50,2,2,1,33,1
51,2,3,1,51,1
52,2,3,1,51,1
53,2,3,1,51,1
54,2,3,1,51,1
55,2,3,1,51,1
56,2,3,1,51,1
57,2,3,1,51,1
58,2,3,1,51,1
59,2,3,1,51,1
60,2,3,1,51,1
61,2,3,1,51,1
62,2,3,1,51,1
63,2,3,1,51,1
64,2,3,1,51,1
65,2,3,1,51,1
66,2,3,1,51,1
67,2,4,1,67,1
68,2,4,1,67,1
69,2,4,1,67,1
70,2,4,1,67,1
71,2,4,1,67,1
72,2,4,1,67,1
73,2,4,1,67,1
74,2,4,1,67,1
75,2,4,1,67,1
76,2,4,1,67,1
77,2,4,1,67,1
78,2,4,1,67,1
79,2,4,1,67,1
80,2,4,1,67,1
81,2,4,1,67,1
82,2,5,1,82,1
83,2,5,1,82,1
84,2,5,1,82,1
85,2,5,1,82,1
86,2,5,1,82,1
87,2,5,1,82,1
88,2,5,1,82,1
89,2,5,1,82,1
90,2,5,1,82,1
91,2,5,1,82,1
92,2,5,1,82,1
93,2,5,1,82,1
94,2,5,1,82,1
95,2,5,1,82,1
96,2,5,1,82,1
97,2,5,1,82,1
98,2,5,1,82,1
99,2,6,1,99,1
100,2,6,1,99,1
101,2,6,1,99,1
102,2,6,1,99,1
103,2,6,1,99,1
104,2,6,1,99,1
105,2,6,1,99,1
106,2,6,1,99,1
107,2,6,1,99,1
108,2,6,1,99,1
109,2,6,1,99,1
110,2,6,1,99,1
111,2,6,1,99,1
112,2,6,1,99,1
113,2,7,1,113,1
114,2,7,1,113,1
115,2,7,1,113,1
116,2,7,1,113,1
117,2,7,1,113,1
118,2,7,1,113,1
119,2,7,1,113,1
120,2,7,1,113,1
121,2,7,1,113,1
122,2,7,1,113,1
123,2,7,1,113,1
124,2,7,1,113,1
125,2,7,1,113,1
126,2,7,1,113,1
127,2,7,1,113,1
128,2,7,1,113,1
129,2,7,1,113,1
130,2,7,1,113,1
131,2,8,1,131,1
132,2,8,1,131,1
133,2,8,1,131,1
134,2,8,1,131,1
135,2,8,1,131,1
136,2,8,1,131,1
137,2,8,1,131,1
138,2,8,1,131,1
139,2,8,1,131,1
140,2,8,1,131,1
141,2,8,1,131,1
142,2,8,1,131,1
143,2,8,1,131,1
144,2,8,1,131,1
145,2,8,1,131,1
146,2,8,1,131,1
147,2,8,1,131,1
148,2,8,1,131,1
149,2,9,2,149,149
150,2,9,2,149,149
